﻿id;name;recipe_category;picture;portion_number;portion_unit;cook_counter;favorite;bookmark;last cooked;last_updated;inspired_by;description;tip
207;schwarze Bohnen-Pilz-Wrap;6;assets/images/recipes/schwarze_bohnen-pilz-wrap.webp;1;Port.;0;0;0;;;;;
208;scharfer Tempeh-Wrap;6;assets/images/recipes/scharfer_tempeh-wrap.webp;1;Port.;0;0;0;;;;;
209;Dürüm-Wrap;6;assets/images/recipes/dueruem-wrap.webp;1;Port.;0;0;0;;;;;
210;Rosenkohl-Möhren-Bohnen-Wrap;6;assets/images/recipes/rosenkohl-moehren-bohnen-wrap.webp;1;Port.;0;0;0;;;;;
211;rote Beete-Fenchel-Bohnen-Wrap;6;assets/images/recipes/rote_beete-fenchel-bohnen-wrap.webp;1;Port.;0;0;0;;;;;
212;Möhren-Kichererbsen-Curry-Wrap;6;assets/images/recipes/moehren-kichererbsen-curry-wrap.webp;1;Port.;0;0;0;;;;;
213;Rotkohl-Linsen-Curry-Wrap;6;assets/images/recipes/rotkohl-linsen-curry-wrap.webp;1;Port.;0;0;0;;;;;
214;Zucchini-Grünkohl-Dörr-Wraps;6;assets/images/recipes/zucchini-gruenkohl-doerr-wraps.webp;3;Wrp.;0;0;0;;;;;
215;Süßkartoffel-Apfel-Dörr-Wraps;6;assets/images/recipes/suesskartoffel-apfel-doerr-wraps.webp;3;Wrp.;0;0;0;;;;;
216;Brokkoli-Apfel-Dörr-Wraps;6;assets/images/recipes/brokkoli-apfel-doerr-wraps.webp;3;Wrp.;0;0;0;;;;;
